# Model parameters:
# patch_size = 28
# batch_size = 100
# num_classes = 1
# num_instances = 100
# num_features = 28
# num_bins = 21
# sigma = 0.05
# learning_rate = 0.0001
# weight_decay = 0.0005
# num_epochs = 30
# metrics_file = loss/loss_metrics.txt
# epoch	training_loss	validation_loss
1	3.59	3.58
2	3.59	3.58
3	3.58	3.57
4	3.57	3.55
5	3.54	3.51
6	3.49	3.46
7	3.45	3.45
8	3.46	3.48
9	3.45	3.47
10	3.46	3.46
11	3.47	3.46
12	3.46	3.47
13	3.46	3.47
14	3.45	3.46
15	3.47	3.46
16	3.45	3.46
17	3.48	3.48
18	3.49	3.48
19	3.46	3.47
20	3.47	3.46
21	3.48	3.47
22	3.46	3.47
23	3.48	3.47
24	3.48	3.47
25	3.46	3.46
26	3.49	3.47
27	3.47	3.47
28	3.47	3.47
29	3.47	3.46
30	3.47	3.47
